class_index,class,ingredients,recipe,proteins,carbs,fat,fiber,calories
0,aalo_puri,"Wheat flour – 2 cups (300 grams)
Boiled potato – 2 (250 grams)
Green coriander – 2 tbsp (finely chopped)
Salt – more than ½ tsp or to taste
Coriander powder – 1 tsp
Red chili powder – ¼ tsp
Turmeric powder – ¼ tsp
Carom seeds – ¼ tsp
Oil – for frying","For making aloo masala pooris, peel the boiled potatoes and then grate them.

Take wheat flour in a big mixing bowl and to it add grated boiled potatoes, followed by salt, carom seeds, turmeric powder, red chilly powder, coriander powder and green coriander. Mix everything really well.

Mix 2 tsp oil in the flour. After this, add water in small portions and knead stiff dough (for kneading this  much quantity of flour, 1/2 cup of water is used). Cover the dough and keep aside for 15 to 20 minutes to set.

After 20 minutes, when the dough is set, knead it again until smooth. Now divide the dough into small  lumps. For making the lumps, make a long log and then divide into small lemon sized lumps (you can keep the size of lumps small or big as preferred). 

Take one lump in your hand and roll it into round dough ball. Flatten it a little into a peda. Likwise prepare rest of the dough balls as well. Meanwhile, heat enough oil in a wok for frying the pooris. Cover the dough balls to prevent them from drying. Grease the rolling plate and pin with some oil. Take one dough  ball, place it on rolling board and roll out into 3 to 4 inch diameter poori (roll the pooris from corner, so that it doesn't remain thin in the center and thick at the corner. Poori should be rolled out equally).

To check if the oil is heated well, drop a small lump into the oil. If it floats immediately on the surface then the oil is rightly hot. Now drop the poori into the wok. To puff up the poori, press it gently with the ladle. Flip the side of the poori and continue frying until golden brown.

Meanwhile fry the other poori similarly and keep checking the poori inside the wok. When the poori turns golden brown in color from both the side, transfer poori to the plate (hold the ladle over the wok so that extra oil drains back to the wok). Similarly fry rest of the pooris as well. Steaming hot aloo masala poori is ready. 

Serve these pooris piping hot with pickle, curd, chutney or any sabzi you relish eating. ",4.7gm,31.0gm,13.7gm,4.6gm,265
1,bhel_puri,"2 cup murmura / puffed rice / churumuri
▢½ onion (finely chopped)
▢½ potato / aloo (boiled & cubed)
▢3 papdi (crushed)
▢3 tbsp mixture
▢2 tbsp fried peanuts
▢2 tbsp tomato (finely chopped)
▢½ tsp chaat masala
▢¼ tsp kashmiri red chilli powder
▢¼ tsp salt
▢3 tbsp tamarind chutney / imli chutney
▢2 tbsp green chutney
▢1 tsp lemon juice
▢2 tbsp sev
▢1 tsp coriander (finely chopped)","firstly, in a large mixing bowl take 2 cups murmura. dry roast murmura if they are not crisp.
add ½ onion, ½ potato, 3 crushed papdi, 3 tbsp mixture and 2 tbsp fried peanuts.
also add 2 tbsp tomato, ½ tsp chaat masala, ¼ tsp chilli powder and ¼ tsp salt.
mix well making sure the spices are combined well.
further add 3 tbsp tamarind chutney, 2 tbsp green chutney and 1 tsp lemon juice.
mix well without turning murmura soggy.
add 2 tbsp sev and give a mix.
finally, enjoy bhel puri topped with few crushed papdi and garnished with onion, coriander.",5.3gm,24.8gm,9.2gm,2.9gm,202
2,bread_pakora,"for stuffing:
▢3 potato / aloo (boiled & mashed)
▢1 green chilli (finely chopped)
▢1 inch ginger (finely chopped)
▢¼ tsp kashmiri red chilli powder / lal mirch powder
▢½ tsp aamchur / dry mango powder
▢2 tbsp coriander (finely chopped)
▢½ tsp chaat masala
▢¼ tsp salt
for besan batter:
▢1 cup besan / gram flour
▢2 tbsp rice flour
▢¼ tsp kashmiri red chilli powder / lal mirch powder
▢½ tsp salt
▢pinch of soda
▢½ cup water or as required
other ingredients:
▢4 slices bread (white / brown)
▢4 tsp green chutney
▢oil for deep frying","firstly, in a large mixing bowl take 3 boiled potato.
also add 1 green chilli, 1-inch ginger, 2 tbsp coriander,¼ tsp chilli powder, ½ tsp aamchur and ½ tsp chaat masala.
combine all the ingredients well and aloo stuffing is ready.
further, spread 1 tsp of green chutney over bread slice and cut half.
spread a tbsp of prepared aloo stuffing over half slice of bread.
cover with another half slice and dip into besan batter covering both sides.
deep fry immediately into hot oil.
splash oil over bread pakora and fry on medium flame flipping occasionally.
fry till the pakora turns golden and crisp.
finally, serve bread pakora with green chutney or tomato sauce.",5.7gm,28.9gm,9.3gm,2.4gm,223
3,burger,"for patties:
▢½ carrot (finely chopped)
▢6 gobi / cauliflower (finely chopped)
▢4 beans (finely chopped)
▢2 tbsp sweet corn
▢2 tbsp peas / matar
▢¼ tsp salt
▢3 potato / aloo (boiled & grated)
▢¼ tsp cumin powder
▢½ tsp garam masala
▢¼ tsp turmeric
▢½ tsp kashmiri red chilli powder
▢¼ tsp chaat masala
▢½ tsp salt
▢2 tbsp coriander (finely chopped)
▢¼ cup bread crumbs
for slurry:
▢2 tbsp corn flour
▢¼ cup maida / plain flour
▢½ cup water
other ingredients:
▢1 cup panko breadcrumbs (for coating)
▢oil (for frying)
▢3 tbsp eggless mayonnaise
▢2 tbsp tomato sauce
▢1 tsp chilli sauce
▢3 burger bun
▢few slices tomato
▢few slices cucumber
▢pinch salt
▢few slices jalapeno
▢pinch pepper powder
▢3 slices cheese","veggie patties preparation:
firstly, steam ½ carrot, 6 gobi, 4 beans, 2 tbsp sweet corn, 2 tbsp peas and ¼ tsp salt.
steam for 10 minutes on medium flame.
transfer the steamed vegetables to large mixing bowl.
also, add 3 boiled and mashed potato.
further, add ¼ tsp cumin powder, ½ tsp garam masala, ¼ tsp turmeric, ½ tsp chilli powder, ¼ tsp chaat masala and ½ tsp salt.
add 2 tbsp coriander and mix well combining all the spices well.
furthermore add ¼ cup bread crumbs and mix well. breadcrumbs help to absorb moisture from vegetables.
prepare a slurry by mixing 2 tbsp cornflour, ¼ cup maida and ½ cup water in a small bowl.
prepare ball sized patties and dip in maida slurry.
coat with panko breadcrumbs uniformly.
shallow fry in hot oil keeping the flame on medium.
fry on both sides, until it turns golden brown. drain off and keep aside.
burger preparation:
firstly, in a small bowl take 3 tbsp eggless mayonnaise, 2 tbsp tomato sauce and 1 tsp chilli sauce.
mix well-forming burger sauce.
spread a tbsp of prepared burger sauce on the bun.
place a few slices of tomato, cucumber and jalapeno.
sprinkle salt and pepper slightly.
layer with a cheese slice.
further place prepared patties and cover with another part of the bun.
finally, enjoy veggie burger with chips and salad.",3.7gm,24.4gm,5.3gm,1.7gm,157
4,butter_chicken,"For the chicken marinade:
28 oz (800g) boneless and skinless chicken thighs or breasts cut into bite-sized pieces
1/2 cup plain yogurt
1 1/2 tablespoons minced garlic
1 tablespoon minced ginger (or finely grated)
2 teaspoons garam masala
1 teaspoon turmeric
1 teaspoon ground cumin
1 teaspoon red chili powder
1 teaspoon of salt
For the sauce:
2 tablespoons olive oil
2 tablespoons ghee (or 1 tbs butter + 1 tbs oil)
1 large onion, sliced or chopped
1 1/2 tablespoons garlic, minced
1 tablespoon ginger, minced or finely grated
1 1/2 teaspoons ground cumin
1 1/2 teaspoons garam masala
1 teaspoon ground coriander
14 oz (400 g) crushed tomatoes
1 teaspoon red chili powder (adjust to your taste preference)
1 1/4 teaspoons salt (or to taste)
1 cup of heavy or thickened cream (or evaporated milk to save calories)
1 tablespoon sugar
1/2 teaspoon kasoori methi (or dried fenugreek leaves)","In a bowl, combine chicken with all of the ingredients for the chicken marinade; let marinate for 30 minutes to an hour (or overnight if time allows).
Heat oil in a large skillet or pot over medium-high heat. When sizzling, add chicken pieces in batches of two or three, making sure not to crowd the pan. Fry until browned for only 3 minutes on each side. Set aside and keep warm. (You will finish cooking the chicken in the sauce.)
Heat butter or ghee in the same pan. Fry the onions until they start to sweat (about 6 minutes) while scraping up any browned bits stuck on the bottom of the pan. 
Add garlic and ginger and sauté for 1 minute until fragrant, then add ground coriander, cumin and garam masala. Let cook for about 20 seconds until fragrant, while stirring occasionally.
Add crushed tomatoes, chili powder and salt. Let simmer for about 10-15 minutes, stirring occasionally until sauce thickens and becomes a deep brown red colour.
Remove from heat, scoop mixture into a blender and blend until smooth. You may need to add a couple tablespoons of water to help it blend (up to 1/4 cup). Work in batches depending on the size of your blender.
Pour the puréed sauce back into the pan. Stir the cream, sugar and crushed kasoori methi (or fenugreek leaves) through the sauce. Add the chicken with juices back into the pan and cook for an additional 8-10 minutes until chicken is cooked through and the sauce is thick and bubbling.
Garnish with chopped cilantro and serve with fresh, hot garlic butter rice and fresh homemade Naan bread!",10.4gm,3.1gm,7.4gm,0.9gm,126
5,butter_naan,"3 cups whole wheat flour
▢1 tablespoon sugar
▢½ teaspoon instant yeast
▢1 cup water or as required
▢3 to 4 tablespoon Curd (yogurt)
▢2 tablespoon softened butter, unsalted or salted
▢¾ teaspoon salt or as required
▢butter as required for spreading on the naan","Making Dough:
In a bowl, take the instant yeast, sugar. Add water and stir the mixture.
Then add 1 cup whole wheat flour and stir or whisk it with the rest of the yeast mixture.
Cover and keep aside to leaven for 40 to 45 minutes.
Then add the remaining whole wheat flour, salt, butter and curd/yogurt. Knead to a soft and smooth dough.
If the dough become sticky, add a few tbsp of flour and knead again. If its dry, then add some more water.
Cover the naan dough and keep aside for 25 to 30 minutes.
Divide the dough into medium balls.
Give a resting time for the dough balls for about 15 to 20 minutes. Cover and keep aside.
Rolling Butter Naan
Lightly dust the dough balls with some flour. 
You can also sprinkle some sesame seeds or nigella seeds on the dough ball and then roll it.
Roll into a small to medium sized rounds/rotis of medium thickness.
Cooking Butter Naan
Place the naan on a hot tava or griddle.
When the bottom is partly cooked, flip. You will see bubbles on the naan.
When the second side is cooked, remove the naan with a pair of tongs and place the side which was cooked first facing the fire.
The naan will puff up. Flip and brown the naan.
Place the hot naan in a roti basket or casserole. Spread some butter on top.
Make all naan this way. If not serving straight away, then stack them in the roti basket.
Or else you can serve these butter naan immediately.",6.9gm,42.6gm,7.8gm,1.6gm,271
6,chai,"2 cups of water or 500 ml water
▢2 teaspoons assam tea powder or tea leaves
▢2 to 3 tablespoon sugar or add as required
▢¼ to ½ cup milk or add as required
▢1 inch ginger grated
▢½ teaspoon green cardamom powder","Prepping:
Peel & grate the ginger and keep aside.
Crush 2-3 green cardamom in a mortar-pestle and keep aside.
Preparing Cutting Chai:
Heat water in a vessel or pan with a handle or a saucepan.
Then add 2 to 3 tablespoons of sugar.
Now add the grated ginger. Simmer for 2 to 3 mins on medium flame.
Then add the crushed cardamom powder. Boil for 1 to 2 mins more.
Then add 2 teaspoons of assam tea powder.
Brew the tea on medium flame for 5 to 6 minutes.
Pour 1/4 to 1/2 cup of milk. If you like strong tea then add 1/4 cup of milk if you like more milk then add 1/2 cup of milk.
Simmer for 2 to 3 mins or until the tea comes to a boil on medium flame.
Switch off the flame. Strain the tea on a mesh strainer. Pour into glasses or cups.
Serve cutting chai along some tea time snacks.",1.7gm,4.6gm,1.8gm,0.0gm,41
7,chapati,"3 cup wheat flour / atta
▢1 tsp salt
▢warm water (for kneading)
▢oil (for roasting)","firstly, in a large bowl take 3 cup wheat flour and 1 tsp salt. mix well.
now add water as required and knead the dough. using water helps to prepare super soft dough.
punch the dough and sprinkle water.
knead the dough until it turns super soft and non-sticky. approximately 7 minutes of kneading is required.
now place the dough in an airtight box and grease with 1 tsp oil.
cover and rest for 20 minutes.
phulka preparation:
knead the dough again and pinch a ball sized dough and roll uniformly.
dust with wheat flour and roll thinly.
roll without putting much pressure.
place the rolled disk on hot tawa. make sure the flame is on medium.
cook until the base is half cooked. once the base is half cooked, flip over.
cook fully on the other side.
now place the half-cooked side on the flame.
increase the flame until it puffs up.
turn over and cook both the sides on the flame.
finally, phulka is ready.
roti preparation:
firstly, put the rolled dough over hot tawa.
cook on medium flame until the base is fully cooked.
once the base is fully cooked turn over. the roti will start to puff up.
once the roti puffs up press gently to puff uniformly.
finally, roti is ready.
chapati preparation:
firstly, take a ball sized dough and dust with wheat flour.
roll to a thick disk of 5 cm diameter.
now spread ½ tsp of oil uniformly.
fold to a triangle and dust with wheat flour.
roll gently without putting much pressure.
roll as thin as possible to have thin chapati.
now place the rolled chapati over hot tawa.
cook on medium flame until the base is cooked.
flip over and cook both sides.
spread a tsp of oil and press gently to puff up.
cook until both sides of chapati is cooked well.
finally, chapati is ready.",8.7gm,49.6gm,1.2gm,7.7gm,244
8,chicken_biryani,"4 tablespoons vegetable oil, divided

4 small potatoes, peeled and halved

2 large onions, finely chopped

2 cloves garlic, minced

1 tablespoon minced fresh ginger root

½ teaspoon chili powder

½ teaspoon ground black pepper

½ teaspoon ground turmeric

1 teaspoon ground cumin

1 teaspoon salt

2 medium tomatoes, peeled and chopped

2 tablespoons plain yogurt

2 tablespoons chopped fresh mint leaves

½ teaspoon ground cardamom

1 (2 inch) piece cinnamon stick

3 pounds boneless, skinless chicken pieces cut into chunks
Rice:

1 pound basmati rice

2 ½ tablespoons vegetable oil

1 large onion, diced

1 pinch powdered saffron

5 pods cardamom

3 whole cloves

1 (1 inch) piece cinnamon stick

½ teaspoon ground ginger

4 cups chicken stock

1 ½ teaspoons salt","Step 1
Heat 2 tablespoons oil in a large skillet. Fry potatoes in hot oil until brown. Remove to a paper towel-lined plate to drain and set aside.

Step 2
Add remaining 2 tablespoons oil to the skillet and fry onions, garlic, and fresh ginger until onion is soft and golden. Add chili, pepper, turmeric, cumin, salt, and tomatoes. Fry, stirring constantly, for 5 minutes. Stir in yogurt, mint, ground cardamom, and cinnamon stick. Cover and cook over low heat, stirring occasionally, until the tomatoes are cooked to a pulp. It may be necessary to add a little hot water if the mixture becomes too dry and starts to stick to the pan.

Step 3
When mixture is thick and smooth, add chicken and stir well to coat. Cover and cook over very low heat until chicken is tender, 35 to 45 minutes. There should only be a little very thick gravy left when the chicken is finished cooking. If necessary cook uncovered for a few minutes to reduce the gravy.

Step 4
To prepare rice: Wash rice well and drain in colander for at least 30 minutes.

Step 5
Heat oil in a large skillet. Fry onion in hot oil until golden. Add saffron, cardamom pods, cloves, cinnamon stick, ground ginger, and rice. Stir continuously until rice is coated with spices.

Step 6
Heat stock and salt in a medium pot. When the mixture is hot, pour it over the rice and stir well. Add the chicken mixture and potatoes; gently mix them into the rice. Bring to boil. Cover the saucepan tightly, turn heat to very low, and steam for 20 minutes. Do not lift lid or stir while cooking. Spoon biryani onto a warm serving dish.",6.4gm,14.3gm,5.5gm,0.5gm,135
9,chilli_potato,"for boiling:
▢water
▢1 tsp salt
▢2 potato / aloo (wedge)
for crispy aloo:
▢¼ tsp turmeric
▢½ tsp chilli powder
▢¼ tsp salt
▢2 tbsp maida
▢2 tbsp corn flour
▢water (for batter)
▢oil (for frying)
for sauce:
▢2 tbsp oil
▢3 clove garlic (sliced)
▢1 inch ginger (chopped)
▢2 tbsp spring onions (chopped)
▢½ onion (petals)
▢½ capsicum (chopped)
▢2 tbsp tomato sauce
▢2 tbsp vinegar
▢2 tbsp soy sauce
▢¼ tsp chilli powder
▢¼ tsp salt
▢¼ tsp pepper powder
▢1 tsp corn flour
▢½ cup water
▢2 tbsp spring onion (chopped)
","firstly, in a large vessel take water and add 1 tsp salt.
once the water comes to a boil, add 2 potato.
boil for 2 minutes and drain off the potato.
now add ¼ tsp turmeric, ½ tsp chilli powder and ¼ tsp salt.
mix well making sure all the spices are well combined.
further, add 2 tbsp maida, 2 tbsp cornflour and 2 tbsp water.
mix well adding more water forming a smooth batter.
now deep fry in hot oil, keeping the flame on medium.
stir occasionally and fry until the aloo turns golden and crisp.
drain off and keep aside.
in a large wok, take 2 tbsp oil. stir fry 3 clove garlic, 1 inch ginger and 2 tbsp spring onions.
add and stir fry ½ onion, ½ capsicum.
now add 2 tbsp tomato sauce, 2 tbsp vinegar, 2 tbsp soy sauce, ¼ tsp chilli powder, ¼ tsp salt and ¼ tsp pepper powder.
stir fry on high flame until the sauces are well combined.
further, add ½ cup cornflour slurry. to prepare the slurry, mix 1 tsp cornflour in ½ cup water.
cook until the slurry turns glossy.
now add fried aloo, 2 tbsp spring onion and mix gently on high flame.
finally, enjoy chilli potato recipe topped with roasted sesame.",1.8gm,16.3gm,7.2gm,1.4gm,137
10,chole_bhature,"
for bhatura:
▢2 cup maida
▢2 tbsp rava / semolina (fine)
▢1 tsp sugar
▢¼ tsp baking soda
▢1 tsp sugar
▢½ tsp salt
▢2 tbsp oil
▢¼ cup curd
▢water (for kneading)
▢oil (for frying)
for pressure cooking chole:
▢1 cup chana / chickpea (soaked overnight)
▢2 tea bags
▢¼ tsp baking soda
▢1 tsp salt
▢3 cup water
for chhole preparation:
▢2 tbsp oil
▢1 bay leaf
▢1 black cardamom
▢2 pod cardamom
▢1 inch cinnamon
▢1 tsp cumin / jeera
▢½ tsp kasuri methi
▢1 onion (finely chopped)
▢1 tsp ginger garlic paste
▢¼ tsp turmeric
▢1 tsp chilli powder
▢1 tsp coriander powder
▢½ tsp cumin powder
▢½ tsp garam masala
▢1 tsp aamchur
▢¼ tsp salt
▢1½ cup tomato puree
▢2 tbsp coriander (finely chopped)
for tempering:
▢1 tbsp ghee / clarified butter
▢2 chilli (slit)
▢¼ tsp turmeric
▢¼ tsp chilli powder
▢¼ tsp garam masala
","how to make bhatura recipe:
firstly, in a large bowl take 2 cup maida, 2 tbsp rava, 1 tsp sugar, ¼ tsp baking soda, 1 tsp sugar, ½ tsp salt and 2 tbsp oil. mix well.
now add ¼ cup curd and mix well making sure everything is well combined.
further, add water as required and knead the dough.
knead to the smooth and soft dough without putting much pressure.
grease the dough with oil, cover and rest for 2 hours
after 2 hours, knead the dough slightly.
pinch a ball sized dough and make a ball without andy cracks.
roll slightly thick, applying oil to prevent from sticking.
drop the rolled dough into the hot oil.
press until the bhature puffs up and splash oil to puff up fully.
flip over and fry until it turns golden brown.
finally, drain off the bhatura and is ready to enjoy with chole masala.
how to make chole recipe for batura:
firstly, in a pressure cooker take soaked chana. i have soaked 1 cup chana in enough water for 8 hours.
add 2 tea bags, ¼ tsp baking soda, 1 tsp salt and 3 cup water.
cover and pressure cook for 5 whistles. if you do not have tea bags, then you can prepare tea decoction and add to cooker.
once the pressure releases, open the cooker and discard the tea bags. keep aside.
in a large kadai, heat 2 tbsp oil, 1 bay leaf, 1 black cardamom, 2 pod cardamom, 1 inch cinnamon, 1 tsp cumin, ½ tsp kasuri methi. saute on low flame until the spices turn aroamtic.
now add 1 onion, 1 tsp ginger garlic paste and saute until onions turn golden brown.
add ¼ tsp turmeric, 1 tsp chilli powder, 1 tsp coriander powder, ½ tsp cumin powder, ½ tsp garam masala, 1 tsp aamchur and ¼ tsp salt.
saute on low flame until the spices turn aromatic.
further add 1½ cup tomato puree and saute until the oil separates. to prepare tomato puree, i have blended 2½ ripened tomatoes in blender without adding water.
now add boiled chole and mix well. adjust consistency by adding water if required.
cover and simmer for 10 minutes, or until chole absorbs all the flavour.
to prepare the tempering, heat 1 tbsp ghee in a pan.
add 2 chilli, ¼ tsp turmeri, ¼ tsp chilli powder and ¼ tsp garam masala.
saute on low flame without burning the spices.
pour the tempering over the chole masala, add 2 tbsp coriander and mix well.
finally, chole bhature is ready to enjoy with some onions.",3.6gm,18.5gm,9.9gm,2.8gm,178
11,dahi_bhalla,"for vada:
▢1 cup urad dal
▢¼ cup moong dal
▢1 chilli
▢1 inch ginger
▢1 tsp salt
▢oil (for frying)
for soaking:
▢5 cup hot water
▢½ tsp salt
▢¼ tsp hing / asafoetida
for sweetened curd:
▢2 cup curd (fresh & thick)
▢2 tbsp sugar
▢½ tsp salt
for serving:
▢green chutney
▢tamarind chutney
▢chilli powder
▢cumin powder
▢chaat masala
▢boondi
▢coriander (finely chopped)","how to make vada for dahi bhalla:
firstly, soak 1 cup urad dal for 5 hours.
drain off the water and transfer to the mixi or grinder. also, add 1 chilli and 1 inch ginger.
blend to smooth paste adding water as required. try to add a minimal amount of water to prevent the batter from turning watery.
transfer the urad dal batter to a large bowl.
take ¼ cup soaked moong dal into the blender.
blend to smooth paste and transfer to the same bowl of urad dal batter.
now add 1 tsp salt and mix well using the whisk.
prepare a thick batter. if the batter is runny then add a tbsp of rice flour.
now wit wet spoon or using hand, drop a spoonful of batter into the hot oil.
keeping the flame on medium, stir occasionally.
fry until the vada turns golden brown and crisp.
drain off the vada over kitchen paper to remove excess oil.
now in a large bowl take 5 cup hot water.
add ½ tsp salt and ¼ tsp hing. mix well making sure it is well combined.
now drop the hot fried vada into the water and dip completely.
soak for 30 minutes, or until the vada absorbs water.
after 30 minutes, squeeze off the water and transfer to plate.
how to prepare sweetened curd for dahi vada recipe:
firstly, take 2 cup curd, 2 tbsp sugar and ½ tsp salt.
whisk and mix well making sure everything is well combined.
how to assemble dahi bhalla for serving:
firstly, pour the sweetened curd over the vada.
also pour a generous amount of green chutney and tamarind chutney.
sprinkle chilli powder, cumin powder, chaat masala.
top with boondi and coriander.
finally, enjoy dahi vada or dahi bhalla chilled.",5.2gm,12.6gm,7.0gm,2.4gm,131
12,dal_makhani,"for pressure cooking dal:
▢¾ cup whole black urad dal / sabut urad dal
▢¼ cup kidney beans / rajma
▢water for soaking
▢3 cups water (for pressure cooking)
▢salt to taste
for dal makhani recipe:
▢1-2 tbsp ghee / clarified butter
▢1 bay leaf / tej patta
▢2 large tomatoes (finely chopped)
▢1 tsp ginger-garlic paste
▢½ tsp turmeric powder
▢one large onion (finely chopped)
▢1 tsp coriander powder
▢½ tsp cumin powder
▢1 tsp kashmiri chilli powder (or as per your spice level)
▢salt to taste
▢1 cup water (or as required)
▢2 tbsp fresh cream (or as required)
▢few coriander leaves (chopped)
for tempering:
▢1 tbsp ghee / clarified butter
▢generous pinch hing / asafoetida
▢¾ tsp kashmiri red chilli powder
▢¼ tsp garam masala (optional)","pressure cooking dal recipe:
take 1 cup of black urad dal and ¼ cup of rajma in a large bowl.
add enough water and soak overnight or atleast for 8 hours.
rinse the dal in a running water and transfer into a cooker. add 3 cups of water.
also add some salt to taste.
close the lid and pressure cook on medium flame for 5 whistles. or till the dals are cooked completely.
dal makhani recipe:
in a large kadai add a tbsp of ghee and saute bay leaf for a minute. or till they turn fragrant.
then add finely chopped onions and saute till they change in colour.
once onions are done, add ginger-garlic paste. saute till raw smell disappears completely.
now add chopped tomatoes and cook till they are soft.
add turmeric, coriander powder, cumin powder, chilli powder and salt to taste. cook the masalas for a minute.
once the masalas start releasing oil from sides, add cooked dal and give a good stir.
adjust the consistency by adding 1 cup of water or as required.
boil for 15 minutes or more till the dal absorbs flavour and turns thick.
to get the creamy texture, add 2 tbsp of fresh cream. you can also skip or increase the amount of cream according to your preference.
top up with fresh coriander leaves.
tempering recipe:
heat tadka pan, and add a tbsp or more ghee. once it begins to melts, add hing.
also add chilli powder and garam masala (optional). fry for 2-3 seconds.
and immediately pour the tempering over dal makhani. give a good mix to get bright colour and flavour.
serve dal makhani with jeera rice or garlic naan.",2.1gm,6.3gm,8.5gm,1.5gm,109
