name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,Recipe
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,"   Creaming Ghee
Take ¼ cup ghee in a bowl.
With a spoon or spatula or a small wired whisk, beat the ghee till it is smooth, light and fluffy. Its color will also lighten.
Add ¼ cup chilled fresh curd (dahi).
Again with a spoon or spatula or a small wired whisk, mix and whip the curd with the creamed ghee.
Cream till light and smooth.
   Making Badusha Dough
Now using a sieve, take 2 cups maida (all purpose flour) in it. Place it on the bowl itself. You can also sift the flour separately in a plate or tray.
Add 1 pinch salt, 1 pinch baking soda and ½ teaspoon baking powder.
Sift directly in the creamed ghee and curd.
Mix the flour lightly with the creamed ghee and curd using a spoon or spatula.
Sprinkle some cold water in parts and begin to mix it. Overall you can use 8 to 9 tablespoons cold water. Add 2 to 3 tablespoons water at a time and mix.
Mix and combine everything to form a soft dough. Do not knead. Just mix and bring everything together to a dough. In case the dough becomes sticky, then add 1 to 2 tablespoons flour. Cover the dough and keep aside for 15 minutes. Use light pressure from hands and form a dough. Do not knead heavily or if required then knead very lightly.
    Making Sugar Syrup
Meanwhile make sugar syrup. While frying balushahi also you can make sugar syrup. Take 200 grams sugar or 1 heaped cup of sugar in a pan or bowl. Use a bowl or pan with more surface area so that the balushahi can get enough space for soaking.
Add ½ cup water and mix.
Place the pan on a low flame.
Using a spoon stir the sugar so that it dissolves. If there are impurities in the sugar syrup, then add 1 tablespoon milk. Remove the scum that forms at the top.
When all the sugar has dissolved, add ½ to 1 teaspoon cardamom powder. Then add 10 to 12 saffron strands. Stir again.
Simmer the sugar solution on a low to medium-low flame. Do stir occasionally. To avoid crystallisation of sugar, you can add some drops of lemon juice.
Simmer till the syrup becomes sticky or you get ½ string consistency in the syrup. You can even cook it to 1 string consistency.
The sugar syrup should be sticky. So cool syrup in a spoon and touch it and it should feels sticky. When the syrup becomes sticky, then switch off flame.
   Frying Balushahi
Before frying balushahi you can begin to heat oil in a kadai or pan on a medium flame. Do use a kadai with handles at the sides. You can also use ghee instead of oil to fry balushahi.
Pinch small to medium-sized balls from the dough. Roll them gently and lightly between your palms.
Then make an indent or depression in them. You can flatten them slightly if you want. Cover the remaining dough and keep aside. Make 5 to 6 badhusha depending on the size of kadai.
Check a tiny piece of the badhusha dough in the medium hot oil. It should come up gradually and steadily.
Now lift the kadai from stove top and keep it on the kitchen table top. Gently begin to place balushahi in the hot oil.
Be careful when you are keeping the balushahi in hot oil. Add 5 to 6 or 7 balushahi depending on the size of kadai. It will expand in oil while frying, so make sure not to over crowd the kadai or pan.
Now lift the kadai and place it again on a low flame.
Begin to fry badusha on a low flame.
When one side firms up and is light golden, turn over each badusha.
Keep on turning them over at intervals and frying them on a low flame.
Frying balushahi on a low flame takes about 12 to 15 minutes. This will depend on the size, thickness of kadai and the intensity of flame. It took me 14 minutes to fry each batch of 6 balushahi.
Fry till golden and crisp.
Using a slotted spoon remove them draining the extra oil.
Place them on kitchen paper towels. When the first batch is getting fried, you can make balushahi from the dough and keep them ready to fry in the second round. Keep them covered with a kitchen napkin. Then fry the second batch of balushahi in the same way, we fried the first batch.
Making Balushahi
After a couple of minutes, when fried balushahi are still hot, place them in the hot or warm sugar syrup.
With spoon or tongs turn over each badusha, so that both sides are coated with sugar syrup. Let these badusha soak in the sugar syrup for about 14 to 15 minutes.
After 14 to 15 minutes, using tongs or spoon, lift each balushahi and place it in a serving tray or bowl. In the same sugar syrup, now add the second batch of balushahi.
Sprinkle 1 to 2 tablespoons of pistachios all over. You can even sprinkle some saffron strand, rose petals and cardamom powder if you want. Press the pistachios, so that they stick to the sugar syrup on the badusha.
Fry the remaining badusha and then soak them in the sugar syrup. In case if sugar syrup crystallises then add 2 to 3 tablespoons water and warm or heat the syrup again on a low flame.
Serve balushahi as a sweet. Leftovers can be easily stored in an air-tight jar or container at room temperature for about 5 to 6 days."
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,"Sift besan into a large bowl. Add pinch of baking soda and 1/2 cup + 3 tablespoons water and mix to form a free flowing batter.
Let the batter rest for 15 minutes and then remaining 1 tablespoon water and mix. The batter is now ready.
Heat oil or ghee in a kadai/wok on medium-high heat. I used a mix of oil and ghee to fry boondi.
Place the ladle 3 to 4 inches above the surface of oil (not very high else boondi will have tail). Once oil is hot, pour batter into the ladle, do not spread by spoon. Let it fall on its own.
Move the ladle around the kadai as the batter falls, so that boondis don't clump together and spread well.
Fry for 30 to 40 seconds, do not over cook. Remove the boondi immediately from hot oil.
For the next batch, wash your ladle and wipe it dry. Then repeat the same process. If you don't wipe the ladle after each batch, boondi won't be round.
Fry in batches until the batter is over. Keep all the fried boondi on a plate.
To make the sugar syrup, heat 1 cup sugar (200 grams) with 3/4 cup water (6 oz/180 ml) on medium heat.
Add food color if using (optional).
Let the sugar dissolve. Then let it boil for 3 minutes (not cooking for any string consistency here). Add the cardamom powder and also add whole cloves.
Turn off the heat and add the fried boondi. Mix well.
Cover the pan and let the boondi sit in the pan until it soaks all the sugar syrup (chasni). Stir the boondi every 1 hour or so. Let sit overnight.
Sweet boondi is ready to serve!"
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,"   Preparation
First rinse, peel and then grate the carrots (8-9 medium sized tender juicy carrots), either with a hand held grater or in a food processor.
You need approx 4 to 4.5 cups grated carrots.
   Making Carrot Halwa
In a kadai or deep thick bottomed pan combine milk and grated carrots.
On a low to medium flame, bring the whole mixture to a boil and then simmer.
While the mixture is simmering on a low flame, keep on stirring in between.
The grated carrots will cook in the milk and the milk will start to reduce and evaporate.
When the milk has 75% reduced, add the ghee, sugar and powdered cardamom to the mixture.
Stir well and continue to simmer and cook on a low flame.
Do keep on stirring the halwa in between.
Towards the end, add the cashews, almonds, saffron and raisins. Simmer the halwa till all the milk is evaporated. Switch off the burner.
Serve gajar halwa hot, warm or you can also serve it cold. garnish with some chopped dry fruits while serving.  "
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,"firstly, take ½ cup ghee and rub with ice block.
now add 2 cup maida and crumble well.
further, add ½ cup chilled milk and give a rough mix.
additionally, add 3 cup of chilled water, 1 tsp lemon juice and make a smooth flowing consistency
pour the 2 tbsp of batter keeping a good distance from hot oil.
the batter will splatter and later the froth subsides. repeat 10-15 times
pull the ghevar out once cooked, and drain off the oil completely.
pour the sugar syrup over ghevar, garnish with chopped nuts and sprinkle cardamom powder.
finally, garnish the ghevar with silver vrak or rabri and ready to serve."
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,"   Making Dough
Take khoya (mawa or evaporated milk) in a bowl. Mash it very well. There should be no lumps. You can also grate and then mash the khoya.
Then add grated paneer, rava (sooji), all purpose flour (maida), baking powder and cardamom powder to the mashed khoya. There should be no lumps in both the mawa and paneer.
As if they are there, then you will find the texture of the gulab jamun not so good. The bits and pieces of mava or paneer will give a bite in the mouth, when you have the gulab jamun. They won’t be smooth.
Mix well. Add milk and gather together to form a dough with milk. Don’t knead.
Just gently mix. If you are unable to form balls or if the mixture appears dry, then add a few teaspoons of milk. Cover the dough and keep aside for 30 mins.
Make small balls from the dough. Cover the balls and keep aside.
   Making Sugar Syrup
Dissolve sugar in water. Heat the sugar solution till it become sticky. You just need to switch off the fire before the syrup reaches a one thread consistency.
Add rose water and stir. Keep the sugar solution aside. On cooling if the sugar syrup crystallizes, then just add 2 to 3 tbsp water and warm the syrup again. It will again return to a liquid state.
   Frying
Meanwhile, while the sugar syrup is cooking, heat oil till its medium hot. Lower the flame and wait for a minute. Then gently place the dough balls in the oil.
Once they start to have tiny golden spots, keep on rotating them in the oil, so that the jamun are evenly browned.
Remove the fried jamun and then drain them on kitchen paper towels to remove excess oil.
   Making Gulab Jamun
Then place the hot fried dough balls in the sugar syrup. Continue frying the rest of the dough balls in batches.
When all the jamuns are placed in the sugar syrup, then keep the whole pan with the sugar syrup and the gulab jamun, on a low flame for 1 to 2 minutes till the jamun become soft.
Heating helps the gulab jamun to absorb the syrup and become soft. The jamun increase a bit in size. Don’t overcook as then the jamun can break.
Use a large pan, so that the jamuns are not overcrowded and you can easily stir them gently while they are simmering.
Serve gulab jamun warm or at room temperature. You can also chill them and serve them cold. Garnish with rose petals or almond slivers."
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,"Soak dhuli urad dal overnight or for a minimum of 6 hours in enough water.
Transfer the soaked dal to your blender and adding little water at a time, blend the dal to a fine paste.
Transfer to a bowl and add food color and rice flour to it.
Using your hands or a spoon, mix the batter for 3-4 minutes continuously. Set aside for 15-20 minutes.
While the batter is resting for 15 minutes, make the sugar syrup.
Add sugar in a pan on medium heat and add water just enough to cover the sugar. Stir continuously till sugar is dissolved.
After 4-5 minutes the syrup will develop a one string consistency which means that if you put a drop of the syrup between your thumb and index finger and move the fingers apart, you will notice the syrup forming one string/thread (see picture above for reference).
At this stage add rose water, crushed cardamom seeds, saffron strands, lemon juice and switch off the heat. The sugar syrup is now ready for dipping in the imartis.
Pour ghee into a kadai on medium-low heat.
While the ghee is getting hot, transfer the batter into the piping bag or a squeeze bottle. I used wilton tip#10 here, you can simply use a ziplock bag and make a small cut in it to pipe the imartis.
Pipe the imartis into the ghee once it's mildly hot. Make sure ghee is not super hot else you won't be able to pipe the batter, keep the heat at medium-low.
Make one round with the batter and then start making small circles adjacent to one another on top of that round that you first made. [See pictures of how the front and back of imarti should look like in the post above].
Once you have piped the batter, increase heat to medium and fry till crisp from both sides.
Once fried, take out the imarti, shaking off the excess ghee.
Dip the fried imarti in the sugar syrup for few seconds. Remember the sugar syrup should be warm at this point.
Flip the imarti to dip the other side in the sugar syrup too.
Remove from the sugar syrup and transfer to a baking sheet lined with parchment paper or silicone mat.
Garnish with crushed pistachios immediately."
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,"   Making Batter
In a mixing bowl, take the 1 cup of all purpose flour or maida. Add besan or gram flour, a pinch of baking soda and turmeric powder.
Mix all the above dry ingredients with a spoon or spatula.
Then add water. The amount of water to be added depends on the quality of flour used. I added 1 cup water. Depending on the quality of flour and besan, you can add from ¾ to 1 cup water.
With the spatula or spoon, first mix. Break the small or tiny lumps with the spatula or spoon while mixing.
Then in round circular directions stir the batter briskly for 4 minutes. This adds volume to the batter and makes it even and smooth.
The batter should have a flowing consistency. Cover and keep the batter to ferment in a warm place for 12 to 15 hours. I kept for 15 hours. If you live in a cold climate, you can keep for 20 to 24 hours and if you live in a hot or warm climate, keep for 6 to 10 hours.
After fermentation the batter will have tiny air-pockets in it with a tangy taste.
Stir the batter and if you carefully see, the batter would have become thinner than what it was before fermentation.
So to thicken the batter again, add 1 to 2 tablespoons of all-purpose flour.
With a spoon mix very well.
Now pour this batter in the squeezy tomato ketchup bottles that we get in the market. You can also use coconut shell and make a small hole in it. You can also use a piping bag or make your own with butter paper. Depending on the capacity of the bottle, you can pour less or more in it.
   Preparing Sugar Syrup
Take 1 cup sugar in a pan. Add saffron strands to it. Do add saffron as it gives a nice orange yellow color and also its aroma to the jalebi.
Add ½ cup of water.
Keep this pan on stove top on low heat and begin to stir, so that the sugar dissolves.
On a low to medium flame, cook the sugar syrup.
Cook till you get one string consistency in the sugar syrup.
Once you get the one string consistency, switch off the heat and add ¼ tsp lime or lemon juice. Stir well. Keep the sugar syrup on the burner itself so that it remains warm when you add the jalebi in it.
   Frying Jalebi
Heat oil for deep frying in a kadai or pan. You can also use ghee or half-half of oil and ghee. Ghee gives a better flavor.
To check the temperature of oil, add a tiny amount of batter to the oil. If it comes up quickly and gradually the oil is hot enough for the jalebi to be fried. The frying temperature is 350 degrees Fahrenheit/176 degrees Celsius.
Now squeeze the bottle and make concentric rings with the batter.
Either start from the center and move outside or vice versa. Be careful while making the jalebis as the oil is hot.
You won't get perfect shapes as the jalebis keep on moving while you make the circles. This does require practice and it also depends on what equipment you are using to make them.
When one side is partly cooked, turn over and fry the other side.
Some jalebi will be cooked faster than others.
Fry till the oil stops sizzling and the jalebis are a light golden. Remove with a tongs or a bamboo skewer. While removing shake to drain the extra oil.
Adding Fried Jalebi To Sugar Syrup
Then immediately put the fried jalebis in the sugar syrup. The sugar syrup should be slightly hot or warm when you add the jalebis in it.
Turn over after after a minute so that both sides are coated with the syrup.
Keep them in the syrup for about 2 to 3 minutes. If you keep for two minutes, they will be lightly colored and if you keep for 3 minutes or more, they will have a deep color.
Remove with a wooden skewer or tongs. Shake lightly so that the excess sugar syrup falls back in the pan. Place them in a plate or tray lined with a foil or butter paper.
Make all jalebi this way. Its better to have a help while doing so. Otherwise it is kind of multi-tasking.
Serve jalebi hot, warm or at room temperature. The leftovers can be kept in an airtight container and refrigerated."
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,-1,-1,"   Grinding Cashews
Powder the cashew in a coffee grinder, blender or a dry grinder.
The cashews should be in powdered form and not become pasty or oily.
   Making Dough
On a low flame heat sugar and water in a thick bottomed or non stick pan or kadai.
Meanwhile grease a plate or a tray and keep aside or keep butter papers ready.
When all the sugar has dissolved in the water, add the cashew powder. There is no consistency in the sugar syrup required like one string or two string. Just let the sugar dissolve in the water and then proceed with the next step.
Mix and keep on stirring the cashew mixture non-stop on a low flame.
The cashew mixture would start thickening.
Cook the kaju mixture for approx 7 to 9 minutes until the whole dough starts to come together.
   Making Kaju Katli
Remove the whole lump of the kaju dough from the pan and place it on your work surface or in a bowl or plate.
Add the rose petals and ghee or oil to the cashew mixture.
When the heat in the dough is hot enough to handle, then knead the cashew mixture lightly.
Flatten the dough and place it on a butter paper or on a greased plate or tray.
Place a butter paper on top and then using a rolling pin, roll gently the dough from all sides till you reach a thickness of 3 to 5 mm in the dough.
Remove the butter paper and let the rolled dough cool.
When completely cooled, using a sharp knife cut the cashew dough giving square or diamond shapes.
Gently remove the kaju barfi with a butter knife.
Serve the kaju katli straight away or keep in an airtight container."
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,"  Preparation
Grease a pan or a tray with some ghee or oil.
Crush coarsely pistachios, saffron and cashews or almonds in a mortar-pestle. You can also sliver or slice the nuts.
Grate 250 to 300 grams paneer. You can also crumble the paneer. If the paneer is refrigerated, then I suggest to grate it. If freshly made, then you can crumble it finely. There should be no chunks in the crumble.
   Making Kalakand Sweet
Take 1 tin/can (400 grams) of sweetened condensed milk in a thick bottomed pan or kadai.
Add the grated or crumbled paneer to the condensed milk. Mix very well.
I did add some sugar as I felt the sweet taste was less for us. I added 1 tablespoons sugar. You can check the taste and add accordingly.
Keep the heat on low or sim and cook this mixture of condensed milk and grated paneer.
Stir the mixture often so that it does not stick to the bottom of the pan.
The kalakand mixture will start thickening as it simmers and begins to cook.
When the mixture gets thickened well, looks like one mass and starts leaving the sides of the pan then switch off the heat.
Keep in mind that the kalakand mixture should have some moisture and should not look dry. It should not have a liquid consistency or be runny.
It took me 15 minutes on a low heat. Depending on the quality of your pan, pan thickness and size, flame intensity it may take 12 to 16 minutes.
Remove the pan from the heat. Add cardamom powder and rose water. Stir very well.
   Setting Kalakand
Now pour the kalakand mixture in the prepared greases pan or tray.
Shake the pan gently so that the mixture spreads evenly. You can also level with a spoon or spatula.
Sprinkle coarsely crushed nuts or slivered nuts all over the kalakand.
Gently press the nuts with a spoon. Cover and allow the kalakand to become warm or cool completely at room temperature. Then keep in the fridge for a couple of hours for it to set.
After it sets, slice the kalakand and serve. In case if you cannot slice the kalakand, then don’t worry. You can just serve it with a spoon like a halwa. It still tastes delicious.
Serve kalakand as a sweet or as a dessert. Keep any leftovers in the fridge in an air-tight container. Kalakand keeps well for 2 to 3 days in the fridge."
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,-1,-1,"   Preparation
Rinse ¼ cup basmati rice a couple of times till the water runs clear of the starch.
Then soak the rice in enough water for 15 to 20 mins.
Blanching almonds – heat water in a small pan or pot. When the water comes to a boil then switch off the flame and then add 10 to 12 almonds to it. Cover and keep aside for 30 minutes. Then peel and slice almonds. This is an optional step. 
   Cooking Rice
Meanwhile, when the rice grains are soaking, take whole or full fat milk in a heavy wide pan or saucepan or kadai.
Keep the pan on a low to medium-low heat. Stir at intervals so that the milk does not stick at the bottom of the pan.
Let the milk come to a boil.
Take 1 tablespoon milk from the pan in a small bowl. Let the milk become warm. Then add a few saffron strands in the milk. Keep aside.
After the milk begins to boil, drain all the water from the rice and add it to the hot boiling milk. mix very well.
Simmer and cook rice on a low heat. No need to cover the pan when the rice is cooking.
Cook the rice grains till they are 50% done or half-cooked.
Then add sugar. You can add more or less sugar according to your preferences. Mix the sugar in the milk with a spoon.
Continue to cook rice on a low to medium-low heat. Do stir at intervals. Simmer till the rice is almost cooked.
   Flavoring The Rice Kheer
Then add ½ teaspoon cardamom powder. Add blanched and peeled sliced almonds and chopped cashews and sliced pistachios. Mix well.
Then add the saffron infused milk.
Again mix and continue to cook on a low flame till the rice kheer thickens and the rice grains have completely cooked.
Switch off the heat when the rice grains are completely cooked. The kheer will also thicken. On cooling rice kheer thickens more. Scrape milk solids from sides and add to kheer.
Lastly add 1 tablespoon golden raisins. At this step you can add 1 tablespoons rose water or kewra water to the kheer.
Pour the kheer in individual serving bowls. You can serve the rice kheer, hot or warm or chilled. Refrigerate leftover rice kheer in a closed container and eat it in 1 to 2 says.
You can enjoy it cold or warm it before serving. If the kheer has become very thick then add a splash of milk and reheat it until warm."
